Word	FREQ
wind	83
wish	83
beautiful	82
covered	82
hard	82
private	82
sun.	82
angle	81
certainly	81
d	81
flow	81
no,	81
particular	81
six	81
sure	81
air,	80
although	80
born	80
church	80
draw	80
fingers	80
hence	80
lay	80
mean	80
out.	80
spot	80
besides	79
bloom,	79
corner	79
earth.	79
he,	79
movement	79
myself	79
return	79
this,	79
_photo:	78
dublin	78
effect	78
represent	78
sight	78
thou	78
whom	78
ancient	77
asked.	77
darkness	77
early	77
electrons	77
idea	77
it?	77
knowledge	77
marked	77
prove	77
sort	77
view	77
world.	77
§	77
b.	76
bright	76
h.	76
knows	76
standing	76
body.	75
drawings	75
fresh	75
i,	75
learn	75
moving	75
nice	75
piece	75
public	75
reproduced	75
sees	75
soft	75
straight	75
subject	75
cases	74
della	74
low	74
whence	74
art	73
copy	73
distant	73
due	73
followed	73
heavy	73
ill	73
meet	73
walked	73
yellow	73
zoe:	73
b_	72
bring	72
deep	72
didn't	72
flying	72
ground	72
lies	72
visible	72
_b_	71
10	71
brown	71
here,	71
history	71
hope	71
mirror	71
seeing	71
somewhat	71
studies	71
sweet	71
there's	71
walking	71
write	71
again.	70
around	70
bed	70
caused	70
day,	70
faces	70
fell	70
giving	70
gone	70
highly	70
however	70
mountain	70
ones	70
painting.	70
sea.	70
see.	70
speak	70
stands	70
until	70
whatever	70
(the	69
care	69
clouds	69
country	69
food	69
gutenberg	69
hardly	69
letters	69
one.	69
opaque	69
regard	69
royal	69
simply	69
walls	69
henry	68
hot	68
leg	68
level	68
other.	68
question	68
state	68
stone	68
vol.	68
wanted	68
answer	67
clear	67
east	67
joe.	67
kinds	67
life,	67
moved	67
need	67
none	67
particularly	67
published	67
real	67
vast	67
well,	67
yes.	67
added	66
air.	66
all,	66
but,	66
city	66
course,	66
easily	66
eyes.	66
gentleman	66
lovely	66
merely	66
necessary	66
painter	66
person	66
run	66
running	66
skin	66
twice	66
up,	66
wrote	66
you're	66
1.	65
bear	65
doing	65
except	65
fair	65
lenehan	65
nose	65
other,	65
si	65
soul	65
stand	65
throw	65
wild	65
--and	64
ask	64
bird	64
cunningham	64
dog	64
evidence	64
eyes,	64
falling	64
fig.	64
grey	64
hand.	64
later	64
lie	64
lighted	64
main	64
produce	64
rock	64
science	64
street,	64
thick	64
try	64
understand	64
writing	64
--yes,	63
_d	63
back.	63
central	63
connection	63
dear	63
eggs	63
ends	63
felt	63
follow	63
lips	63
muscles	63
on,	63
raised	63
sent	63
star	63
street.	63
way.	63
children	62
conmee	62
day.	62
double	62
face.	62
king	62
meaning	62
room	62
salt	62
section	62
sitting	62
suddenly	62
amount	61
bent	61
creatures	61
direction	61
fish	61
force	61
girl	61
holding	61
infinite	61
limbs	61
met	61
numerous	61
quantity	61
really	61
right.	61
smoke	61
